"PID","CWV","react","impact_rel","impact_comp","impact_quit","own_likeman","CWV_1","CWV_2R","CWV_3","CWV_4","CWV_5R","CWV_6","CWV_7R","CWV_8","CWV_9R","CWV_10R","att_1","elg","og_pid","task","age","race","edu","income","gender","employment","feedback","income_num","edu_num","white","man"
187,1.7,"I think she told a different manager or a higher up that the manager was asking her to do her job. I think she explained the situation of the other project she was doing, but didn't think it was fair to do her manager's job and be threatened with her time off revoked.",2,2,7,1,1,2,1,1,2,2,2,1,2,3,1,1,13,"Spearhead a project for a new children's exhibit",51,"white","4yearColl","Over $200,000","woman","Full-time",NA,11,4,1,0
188,1.6,"The employee probably quit and found another job. The manager was then stuck trying to find a new employee.",1,1,7,1,2,4,1,1,1,1,1,1,1,3,1,1,19,"Make more sales",24,"white","4yearColl","$80,001-$100,000","man","Full-time",NA,5,4,1,1
189,2.2,"I would think that nothing happened because the manager has a position of power. If anything, he may have been spoken to by someone higher up but did not face any negative actions against him.  The employee was probably upset and was even more upset that nothing will be done.",2,4,7,2,2,2,2,2,2,4,2,2,2,2,1,1,33,"Stop responding to CFO emails directly, bypassing the acting director",27,"white","4yearColl","$60,001-$80,000","woman","Full-time",NA,4,4,1,0
190,1.5,"The employee was taken aback by the manager's behavior and was demoralized. As such he likely will put in less effort to complete the task.",1,6,6,1,1,2,1,1,3,1,2,1,1,2,1,1,29,"Help in completing the manager's project",30,"white","MA","$20,001-$40,000","man","Full-time",NA,2,5,1,1
191,2.9,"I believe the associate lost trust in their manager was very upset and felt opressed",1,5,6,1,5,5,1,1,2,5,1,1,1,7,1,1,13,"Spearhead a project for a new children's exhibit",63,"white","4yearColl","$20,001-$40,000","man","Part-time, Retired",NA,2,4,1,1
192,2.8,"That is out of line. The manager could get apprehended for her actions. Face legal trouble for harrasment. She was frightened for their well being felt useless and no matter what they did it wouldn't be enough.",1,7,7,1,5,3,1,1,4,6,1,1,1,5,1,1,10,"Not take time off for a relative's doctor's appointment",41,"white","GED","$100,001-$120,000","man","Full-time",NA,6,2,1,1
193,2.8,"I think that the employee was very angry at the unfair treatment by the manager. They may have gotten into a verbal argument about the manager's behavior.",1,3,7,1,2,2,2,1,2,5,4,1,4,5,1,1,44,"Dress in formal suits (when the norm is business casual) and stay in less expensive rooms in a hotel",44,"white","GED","$60,001-$80,000","woman","Full-time","N/A",4,2,1,0
194,1.7,"The team members felt that they were not free to make decisions and that they were micromanaged.",1,6,7,2,1,3,1,1,2,2,1,1,2,3,1,1,38,"Work in teams to get a job done according to instructions",64,"black","MA","$80,001-$100,000","woman","Full-time","none",5,5,0,0
195,1.5,"I like to imagine that the manager had a change of heart and instead of revoking already established days off, explained to the librarian that she should not be doing work for another manager without consulting her actual manager first. I think the manager should have a talk with the other manager (the one the librarian does not report to) about communicating with her before tasking one of her staff members with an assignment. But more probably, based on the manager's reaction, this didn't happen. Instead, the librarian was pressured to complete the assignment, and the librarian felt like it was time to find a new job.",1,1,7,1,1,1,1,1,1,5,1,1,1,2,1,1,13,"Spearhead a project for a new children's exhibit",58,"white","MA","$100,001-$120,000","woman","Full-time","I'm a librarian, so you could not have chosen a better scenario!",6,5,1,0
196,1.6,"I believe that higher ups came down on her for her own performance and she is taking it out on the employees. She is not as hands on as the employees so I think her own performance is not satisfactory.",1,5,7,1,2,2,2,1,1,2,1,1,3,1,1,1,43,"Be more focused at work",32,"white","2yearColl","$20,001-$40,000","woman","Full-time",NA,2,3,1,0
197,5,"Nothing would happen as a consequence to the manager's behavior in my opinion. Personally I doubt the employee would take the time to make any reports against the manager and even if they did, I doubt anything will happen to them. So 9 times out of 10, the employee would most likely just ignore the situation and try to continue on with their lives.",1,7,6,1,7,4,6,6,3,7,1,4,7,5,1,1,30,"Get more customers to donate to charity",32,"asian","GED","$100,001-$120,000","man","Full-time",NA,6,2,0,1
198,2.9,"I think the employee eventually looked for other work.",1,3,1,1,7,4,2,1,1,6,2,1,2,3,1,1,19,"Make more sales",55,"white","GED","$180,001-$200,000","man","Full-time",NA,10,2,1,1
199,2.1,"I think the employee didn't argue back and made an effort to change what she was doing at work to make it seem like she was doing more, even if she thought she was already doing her job. The employee was probably annoyed but didn't argue back with her manager.",2,3,7,1,3,2,2,1,1,5,2,1,2,2,1,1,43,"Be more focused at work",29,"asian","4yearColl","$60,001-$80,000","man","Full-time",NA,4,4,0,1
200,2.9,"I think the employee was obviously unhappy.   The employee had to do a lot of work, on their own time.   As far as a consequence, I'm not sure if there are any consequences to it, at least not for the manager.   The employee is either going to do the work, or they aren't.   If the employee doesn't do the work, then the manager is going to get someone who will.   And the employee was rightly upset about it.",1,7,7,2,4,3,2,2,2,3,2,2,6,3,1,1,15,"Produce a great deal of documentation and research without additional compensation",51,"white","4yearColl","$60,001-$80,000","man","Full-time",NA,4,4,1,1
201,2.5,"I'm a little torn, my first thought is she was over confident and seems to have put her team off by coming across so strongly and not really allowing the team to express their thoughts.  I'm guessing with the team not behind the manager she failed.   On the other hand, being over confident she might have been able to just push through on her own and succeeded, but I'm leaning more toward failure.",2,2,5,1,3,3,3,2,3,2,1,1,2,5,1,1,37,"Revamp copmany's social social media strategy to increase sales, engagement and brand visibility",54,"white","GED","$60,001-$80,000","woman","Full-time",NA,4,2,1,0
202,3.7,"I think the paralegal filed the paperwork to the court as instructed by the manager. .Although the paralegal knew that the court was incorrect, they followed the manager's orders and proceeded. As a consequence, the paperwork was filed incorrectly.",1,7,7,1,5,3,2,3,4,5,3,3,3,6,1,1,22,"File paperwork that the employee thinks is incorrect",40,"white","4yearColl","$80,001-$100,000","woman","Full-time",NA,5,4,1,0
203,1.4,"I think people were likely intimidated by her in the meeting and have started to withhold creative ideas that may spur greater growth, but at the expense of not being what the manager directly wanted.",2,4,6,1,1,2,2,1,1,1,1,1,2,2,1,1,37,"Revamp copmany's social social media strategy to increase sales, engagement and brand visibility",40,"white","4yearColl","$80,001-$100,000","man","Full-time",NA,5,4,1,1
204,2,"I think the employee felt pressured to go along with whatever the manager was suggesting, regardless of the employee's feelings about it.",2,7,3,1,2,1,1,2,1,6,1,1,2,3,1,1,37,"Revamp copmany's social social media strategy to increase sales, engagement and brand visibility",56,"white","MA","$60,001-$80,000","woman","Part-time",NA,4,5,1,0
205,3.1,"The employee definitely felt that the manager thought of her as someone who was disposable, worthless, and inferior since they ignored the health condition of the employee and was just forcing them to do stuff that they wanted her to do. It is likely that the employee was scared about what would happen to her unborn child if she were to board the plane so the chances of her reporting to HR is plausible.",1,3,7,1,4,2,4,5,2,7,1,1,3,2,1,1,9,"While pregnant, fly cross-country to debut a product",27,"asian","4yearColl","$60,001-$80,000","man","Full-time",NA,4,4,0,1
206,1,"The employee probably decided to fly anyway, risking their health and their fetus’ health because of the manager.",1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,9,"While pregnant, fly cross-country to debut a product",47,"white","4yearColl","$40,001-$60,000","woman","Full-time",NA,3,4,1,0
207,2.2,"The manager's behavior had the effect of lowering the employee's morale and possibly affecting their self-esteem. The employee probably felt unappreciated and undervalued.",2,3,7,2,2,4,1,2,1,1,2,1,5,3,1,1,28,"Complete the report like the rest of the team",46,"white","2yearColl","$0-$20,000","man","Part-time",NA,1,3,1,1
208,3.1,"Likely nothing happened.  The paralegals job is to do as instructed by the manager, they already voiced their opinion and were overruled.   This is life, the boss is in charge.",4,4,3,1,6,5,2,1,1,5,3,2,3,3,1,1,22,"File paperwork that the employee thinks is incorrect",46,"white","4yearColl","$100,001-$120,000","man","Full-time",NA,6,4,1,1
209,1.7,"It's possible the employee went to upper management and the manager's behavior was reprimanded. This would probably make the employee feel better. I think the more likely outcome is not much happened and the employee eventually quit.",1,6,7,1,2,1,3,1,2,2,1,1,2,2,1,1,51,"Wash the vehicle every day, even if late",29,"white","4yearColl","$120,001-$140,000","woman","Part-time",NA,7,4,1,0
210,3.2,"Probably nothing in terms if pushishment, bur definitely  alienating good employees gor a really dumb reason.",2,5,6,1,3,3,3,3,3,3,3,3,5,3,1,1,39,"Clean something that the janitor normally cleans",46,"white","4yearColl","$60,001-$80,000","woman","Full-time",NA,4,4,1,0
211,4,"I don't think anything happened to manager as a consequence of their behavior. I think they will continue acting in the manner that they have.",1,1,7,1,7,7,1,2,6,6,1,2,2,6,1,1,28,"Complete the report like the rest of the team",39,"black","4yearColl","$100,001-$120,000","man","Full-time",NA,6,4,0,1
212,1.8,"I would think the manager would be terminated because the request to the employee came from higher up. The employee would be upset because they did nothing wrong.",1,1,7,1,2,2,1,2,2,2,2,1,2,2,1,1,33,"Stop responding to CFO emails directly, bypassing the acting director",52,"asian","4yearColl","$120,001-$140,000","woman","Full-time",NA,7,4,0,0
213,3.6,"The employee likely felt unsupported and possibly intimidated by the manager's behavior. They may have felt their health and well-being were not being prioritized, leading to increased stress and discomfort in the workplace. This could have also strained the trust and relationship between the employee and the manager.",2,5,5,2,6,6,6,3,2,5,2,2,2,2,1,1,9,"While pregnant, fly cross-country to debut a product",28,"white","MA","$80,001-$100,000","woman","Full-time",NA,5,5,1,0
214,2.7,"I think that due to the manager's behavior, the employee felt micro-managed. The employee possibly lacked confidence in their abilities due to this.",2,7,5,1,4,3,2,2,2,5,2,2,2,3,1,1,38,"Work in teams to get a job done according to instructions",48,"black","GED","$80,001-$100,000","man","Part-time","none, thank you",5,2,0,1
215,3,"I think the employee was disciplined and probably written up for not doing their job.",3,3,4,1,3,3,2,5,2,4,2,4,2,3,1,1,30,"Get more customers to donate to charity",32,"white","MA","Over $200,000","woman","Full-time",NA,11,5,1,0
216,3,"I think the manager was disciplined for the actions that they did. The employee was able to get justice from the managers actions",1,4,2,1,3,3,6,5,1,4,1,4,1,2,1,1,13,"Spearhead a project for a new children's exhibit",47,"black","4yearColl","$20,001-$40,000","woman","Full-time",NA,2,4,0,0
217,3.6,"The consequences of the scenario were most likely that the employee would no longer sit in the chair and take breaks for fear of being caught again. The employee seemed like they did not want any more trouble and wanted the reprimand to end as quickly as possible.",1,7,6,3,5,5,5,3,2,6,3,2,3,2,1,1,12,"Stop taking breaks in tenants' apartments",32,"white","4yearColl","$40,001-$60,000","man","Full-time","None",3,4,1,1
218,3.4,"She probably felt more stressed out and hostile at work and eventually quit.",2,4,6,1,4,5,4,2,4,4,4,1,3,3,1,1,19,"Make more sales",33,"white","4yearColl","Over $200,000","man","Full-time",NA,11,4,1,1
219,2.4,"I would hope the manager would have been fired or removed from a position of authority. It is unacceptable to act that way towards an employees in any way.",1,6,7,1,1,6,4,1,2,2,2,1,3,2,1,1,10,"Not take time off for a relative's doctor's appointment",42,"white","MA","$80,001-$100,000","woman","Full-time",NA,5,5,1,0
220,1.5,"I think the employee should note those actions and bring it to his supervisor or escalate the situation with another manager. I think the managers behaviour was extremely inappropriate.",1,2,6,1,1,1,2,1,1,2,3,2,1,1,1,1,51,"Wash the vehicle every day, even if late",33,"white","2yearColl","$40,001-$60,000","man","Full-time",NA,3,3,1,1
221,3.9,"The court rejected the paperwork and it had to be re-filed. I'm sure the employee gloated a little afterwards.",2,6,6,1,6,4,3,5,3,5,3,4,3,3,1,1,22,"File paperwork that the employee thinks is incorrect",50,"white","GED","$100,001-$120,000","man","Full-time",NA,6,2,1,1
222,1.5,"Honestly, nothing probably happened to the manager but I am sure that the employee felt discouraged and unappreciated, leading to them likely finding another job.",1,7,7,1,1,2,1,1,1,5,1,1,1,1,1,1,47,"Work in freezer while having the flu",23,"hispanic","4yearColl","$20,001-$40,000","woman","Full-time",NA,2,4,0,0
223,2.4,"I'm certain that the employees response would be somewhat negative. It sounds as if the manager is not pulling their weight and the employee should be able to talk to human resources without fear of retaliation. If human resources becomes involved they should reprimand the manager.",1,4,1,3,5,4,2,1,1,5,1,1,1,3,1,1,43,"Be more focused at work",45,"black","4yearColl","$60,001-$80,000","woman","Full-time",NA,4,4,0,0
224,2.5,"The employee would have felt distraught at the manager's response. The manager could have been more polite in their response. Replying the way they would have left the employee less motivated.",2,2,1,1,5,3,2,1,2,6,1,2,1,2,1,1,31,"Clean the rooms faster",25,"white","4yearColl","$80,001-$100,000","woman","Full-time",NA,5,4,1,0
225,2.9,"I hope the manager got fired. No one deserves to be talked to that way. And what if rescheduling the doctors appointment caused the mother more problems?",1,7,7,1,5,3,1,1,4,5,1,1,3,5,1,1,10,"Not take time off for a relative's doctor's appointment",42,"white","GED","$0-$20,000","woman","Unemployed",NA,1,2,1,0
226,1.8,"I believe the employee experienced a lot of stress and lack of trust towards their manager. Getting verbally abused all the time because of factors outside of your control creates a toxic workplace environment and I'm sure that employee is already looking for a new job.",1,2,7,2,3,2,2,2,1,1,2,1,2,2,1,1,51,"Wash the vehicle every day, even if late",32,"white","4yearColl","$80,001-$100,000","man","Full-time",NA,5,4,1,1
227,2.7,"I think that nothing happened to the manager as often employees are salaried and even though they are expected to put in a forty-hour work week, contracts stipulate at times they may work longer than this without extra compensation so if this employee was salaried, nothing would have happened. If not salaried, I see the manager being talked to by his superior and a note put in his file but nothing major. I would think the employee would be somewhat disgruntled by the entire situation and how it was handled before, during, and after if he reported it.",1,7,6,1,5,3,1,1,2,4,5,1,1,4,1,1,15,"Produce a great deal of documentation and research without additional compensation",51,"multiracial","GED","$80,001-$100,000","man","Full-time","Excellent project, very well constructed.",5,2,0,1
228,2.1,"The employee explained her aversion to touching strangers. The manager threatened her job. The employee stayed for awhile but eventually quit because the manager made her time at work uncomfortable.",1,1,7,1,3,3,2,2,1,3,2,1,2,2,1,1,21,"Give customers a hand-massage to try out the lotion",36,"white","4yearColl","$140,001-$160,000","woman","Full-time",NA,8,4,1,0
229,1.7,"I think the manager may have wrote the employee up for doing that and will keep an eye out for the employee going forward. I think the employee is nervous and upset that their brake space was found.",2,7,6,5,1,2,1,1,1,3,2,1,2,3,1,1,12,"Stop taking breaks in tenants' apartments",24,"multiracial","GED","$100,001-$120,000","woman","Part-time","none",6,2,0,0
230,1.7,"The employee originally kind of ignored the manager to finish his conversation, and after getting yelled at again he grinned and accused the manager of being on a power trip.",1,1,5,1,2,2,1,1,3,2,1,1,2,2,1,1,39,"Clean something that the janitor normally cleans",36,"white","4yearColl","$60,001-$80,000","woman","Part-time",NA,4,4,1,0
231,1.6,"I feel the employee probably felt disrespected. He probably did a bad job on the project because of it.",1,2,1,1,2,1,1,1,1,5,1,1,1,2,1,1,29,"Help in completing the manager's project",41,"white","GED","$40,001-$60,000","woman","Full-time",NA,3,2,1,0
232,1.9,"I think the employee obeyed the manager and changed their behaviors. They may have went up the chain of command and complained about the verbal abuse part. They probably changed their behaviors while the manager was there, but when the manager was not with them, they did their normal routine.",1,5,6,1,2,2,2,2,1,2,1,2,3,2,1,1,44,"Dress in formal suits (when the norm is business casual) and stay in less expensive rooms in a hotel",40,"asian","4yearColl","$60,001-$80,000","woman","Part-time","Everything was clear and went well",4,4,0,0
233,2.5,"I'm sure the employee was furious. I would hope that some sort of consequence was placed on the manager for putting the employee in an impossible situation.",2,3,6,1,2,2,2,3,2,4,2,2,3,3,1,1,9,"While pregnant, fly cross-country to debut a product",35,"white","MA","$40,001-$60,000","man","Full-time",NA,3,5,1,1
234,4,"I think the employee now dislikes the manager. I believe this relationship will not be as good going forward.",2,5,6,1,5,2,6,4,2,7,2,5,4,3,1,1,37,"Revamp copmany's social social media strategy to increase sales, engagement and brand visibility",30,"hispanic","GED","$80,001-$100,000","man","Full-time","none",5,2,0,1
235,1.2,"The employee likely feels attacked personally and feels cornered with no defense. The manager is being very unfair and not focusing on the whole picture.",1,7,7,1,1,1,1,1,1,1,1,1,1,3,1,1,51,"Wash the vehicle every day, even if late",49,"white","GED","$40,001-$60,000","woman","Full-time","thank you",3,2,1,0
236,2.7,"This sounds illegal to me and I would say it's likely the manager got in trouble. To threaten someone to not speak to HR is not right and the employee likely felt scared and did eventually reach out to HR for support.",1,3,7,1,4,3,2,3,2,5,2,1,2,3,1,1,9,"While pregnant, fly cross-country to debut a product",28,"asian","MA","$80,001-$100,000","woman","Full-time",NA,5,5,0,0
237,1.6,"I do not think that anything would have happened to this manager. He would not be displaying this behavior if he could not get away with it.",1,6,7,1,2,2,1,1,2,2,1,1,2,2,1,1,47,"Work in freezer while having the flu",NA,"white","GED","$60,001-$80,000","woman","Full-time",NA,4,2,1,0
238,3,"I think the employee felt confused and mad knowing they did everything right and still there manager thinks a certain way.",4,5,4,1,6,2,2,6,1,6,4,1,1,1,1,1,30,"Get more customers to donate to charity",25,"hispanic","GED","$0-$20,000","man","Part-time",NA,1,2,0,1
239,1.8,"The manager should have been suspended while his record with the company was reviewed. If they found him to be guilty of the behavior then they would've eventually fired him. This would've left the employee relieved that he didn't have to come to work to face abuse again. It would've also made him feel secure in his job.",1,6,7,1,3,1,1,1,1,6,1,1,2,1,1,1,47,"Work in freezer while having the flu",50,"hispanic","4yearColl","$20,001-$40,000","woman","Full-time","none",2,4,0,0
240,2.4,"The employee might experience feelings of resentment and perceive themselves as being bullied. Despite their efforts to comply with the boss's instructions, they may still harbor feelings of resentment.",1,7,7,1,2,2,2,2,2,2,2,2,6,2,1,1,30,"Get more customers to donate to charity",31,"white","4yearColl","$60,001-$80,000","man","Full-time",NA,4,4,1,1
241,1.2,"I think the employee would have rightfully resented the so-called feedback. It seemed the supervisor had a beef and it turned kind of nasty. I would think the employee kept her head down, did her job, but did not trust her supervisor as much as before.",1,6,7,1,1,1,1,1,1,1,1,1,3,1,1,1,43,"Be more focused at work",71,"white","4yearColl","$20,001-$40,000","woman","Full-time",NA,2,4,1,0
242,3.6,"I don’t believe anything happened. It doesn’t seem like they overstepped however there should be a warning. The managers request clearly would make business more difficult to conduct if the worker’s time is spent on photos. In my retail background I’ve dealt with similar issues on the e commerce side so I understand",3,5,5,1,5,5,2,3,4,5,2,2,3,5,1,1,7,"Use hand-made and uploaded images",NA,"hispanic","GED","$120,001-$140,000","man","Full-time",NA,7,2,0,1
243,1.8,"I'm guessing the employee quit. In every organization there is an employee break room which is the proper place to take a short break.",1,7,7,3,1,3,2,2,1,3,1,1,2,2,1,1,12,"Stop taking breaks in tenants' apartments",68,"white","2yearColl","$20,001-$40,000","man","Part-time",NA,2,3,1,1
244,2.8,"If there's an HR department in this scenario, the manager would have been taken aside and spoken to regarding such requests that were made by them. Physical touch in that manner is not a normal part of the job and can be considered inappropriate if made to do so.",1,1,1,1,3,2,2,3,2,5,3,2,3,3,1,1,21,"Give customers a hand-massage to try out the lotion",49,"white","4yearColl","$60,001-$80,000","man","Full-time",NA,4,4,1,1
245,4.3,"I think the insecurity of the manager is at play here. The manager would cause the paper work to be rejected and eventually, he would have himself alone to lame. The employee cant do anything here since the order of the manager must be carried out.",1,7,7,1,6,3,3,5,5,5,2,5,3,6,1,1,22,"File paperwork that the employee thinks is incorrect",31,"white","MA","$120,001-$140,000","man","Full-time",NA,7,5,1,1
246,3.4,"The employees felt the manager made their job a pain in the ass by keeping a consistent tab on them.",1,7,6,4,6,5,1,1,5,7,1,2,1,5,1,1,38,"Work in teams to get a job done according to instructions",35,"white","4yearColl","$120,001-$140,000","man","Full-time",NA,7,4,1,1
247,1.5,"I think the manager probably took credit for his subordinate's method. The employee probably felt justifiably angry over this.",1,5,7,1,1,2,1,1,1,1,1,1,3,3,1,1,29,"Help in completing the manager's project",59,"white","GED","$80,001-$100,000","woman","Part-time, Homemaker, Other",NA,5,2,1,0
248,3,"I imagine the employee advised the manager that he would not sign off until all the modules were sufficiently tested as required. The employee likely resigned due to the manager's behavior.",2,1,7,2,5,3,3,2,3,3,3,2,3,3,1,1,52,"Sign off on a module that had to be delivered, despite it not being fully complete",49,"white","4yearColl","$20,001-$40,000","man","Part-time",NA,2,4,1,1
250,2.2,"Well I am sure the nurse was upset. Secondly due to her being fatigued I am sure she couldnt do the job at 100% efficiency. So mistakes may have been made by the nurse.",2,7,6,1,3,2,1,1,1,2,1,3,2,6,1,1,42,"Take up a colleague's duty as the employee was signing out",35,"hispanic","GED","$20,001-$40,000","man","Full-time",NA,2,2,0,1
251,2.7,"I believe that the employee will still file the paperwork but it would end up getting rejected by the court due to the incorrect information. The employee would not be surprised about the rejection ion the paperwork but will be angry and frustrated with the manager over the situation.",1,5,6,2,3,3,2,2,2,5,2,2,3,3,1,1,22,"File paperwork that the employee thinks is incorrect",20,"black","GED","$40,001-$60,000","man","Full-time",NA,3,2,0,1
252,1.9,"I don't think anything happened to the manager. I think a lot of people would see his behavior as him doing his job. Even if it's overbearing. I think eventually the employee quite this job.",2,7,7,3,5,1,1,1,1,2,2,1,2,3,1,1,38,"Work in teams to get a job done according to instructions",46,"white","GED","$20,001-$40,000","woman","Part-time",NA,2,2,1,0
253,2.8,"I think the employee should have reported the manager for conduct unbecoming a professional. The employee should have been extremely concerned about this ""over the top"" reaction to something that was of no concern to the manager since the employee was emailed directly and responded accordingly. Someone who has this kind of reaction and is violently throwing things is a danger to everyone in that workplace",1,1,7,1,4,2,2,2,4,4,2,2,2,4,1,1,33,"Stop responding to CFO emails directly, bypassing the acting director",55,NA,"2yearColl","$80,001-$100,000","woman","Temporarily laid off","I have none",5,3,NA,0
254,3.3,"I believe that the employee did go through an md get the accreditation project. Though she did do that, I believe that the employee did let his/her feelings be heard. There is also a possibility of the employee reaching out to the manager’s supervisor and also describe how they felt. I hope the supervisor was able to compensate or do something for the employee.",1,4,7,1,5,1,2,4,3,5,2,5,3,3,1,1,15,"Produce a great deal of documentation and research without additional compensation",37,"hispanic","4yearColl","$80,001-$100,000","man","Full-time",NA,5,4,0,1
255,3.2,"The employee thought less of the manager.  He felt he was on a power trip and therefore is saying he is a control freak who needs to exert his authority over others.",2,3,6,1,5,3,4,3,2,5,2,2,4,2,1,1,39,"Clean something that the janitor normally cleans",45,"asian","4yearColl","$20,001-$40,000","man","Full-time",NA,2,4,0,1
256,1.8,"The employer most likely felt stressed, overworked, and unmotivated to comply with the manager because of his attitude.",1,3,7,1,2,2,2,1,2,2,1,2,2,2,1,1,15,"Produce a great deal of documentation and research without additional compensation",59,"black","2yearColl","$20,001-$40,000","woman","Full-time",NA,2,3,0,0
257,3.1,"The employee told the manager they had been asking and people were declining to donate, then asked what they might be able to do to be more persuasive and solicit more donations. 
The employee was annoyed but kept their tact and emotional control and used the situation to solicit information from the manager concerning their expectations.  The employee kept in mind this situation and probably starting looking for a new job on the side.",2,5,1,1,4,2,2,4,2,4,2,2,4,5,1,1,30,"Get more customers to donate to charity",51,"white","4yearColl","$100,001-$120,000","woman","Part-time",NA,6,4,1,0
258,3.7,"The employee reluctantly did what the manager asked in giving customers hand massages with lotion, did not like what she had to do but listened to the manager.",2,5,5,1,7,4,2,3,3,5,3,5,3,2,1,1,21,"Give customers a hand-massage to try out the lotion",50,"white","4yearColl","$80,001-$100,000","man","Full-time",NA,5,4,1,1
259,4.2,"I think that the employee would be furious from the remarks that the manager made and would want to know exactly what the exact issues are that the manager is describing to see if they're accurate issues. I don't think any consequences were made at that time.",2,5,5,3,6,7,1,2,6,7,3,1,3,6,1,1,43,"Be more focused at work",26,"white","GED","$20,001-$40,000","man","Full-time","Thank you for the survey.",2,2,1,1
260,4,"The participant appears to be unfairly burdened and pressured by their manager for a task that is affected by external circumstances. Such an ordeal seems highly stressful and irrational.",3,2,2,1,5,3,4,2,6,6,3,6,2,3,1,1,51,"Wash the vehicle every day, even if late",37,"black","4yearColl","$40,001-$60,000","woman","Full-time","it was good",3,4,0,0
261,3.6,"Many things can happen due to the manager's lack of empathy. it could lead to workplace hazards working while tired is dangerous.",2,6,5,2,6,6,2,5,2,6,2,3,2,2,1,1,42,"Take up a colleague's duty as the employee was signing out",29,"white","MA","$100,001-$120,000","woman","Full-time",NA,6,5,1,0
262,3,"I would imagine all non-senior level employees filed some sort of complaint or at least asked to be compensated for trying to find a different hotel.",2,4,5,1,5,4,3,5,1,5,1,1,3,2,1,1,44,"Dress in formal suits (when the norm is business casual) and stay in less expensive rooms in a hotel",26,"white","GED","$40,001-$60,000","man","Part-time",NA,3,2,1,1
263,2.4,"I think that the employee was probably scared of getting written up or even fired because they decided to take a break for a quick moment. I think that there was no consequence for the manager behavior when seeing the employee sitting down in the bathroom taking a break.",1,7,7,4,2,2,1,1,7,6,1,1,1,2,1,1,12,"Stop taking breaks in tenants' apartments",39,"black","4yearColl","$120,001-$140,000","woman","Full-time",NA,7,4,0,0
264,4.9,"The employee would become less motivated to work or stay at the job over time. They would probably start looking for a different job as soon as they could.",1,6,7,1,5,6,4,4,5,6,5,5,3,6,1,1,47,"Work in freezer while having the flu",37,"white","GED","$80,001-$100,000","man","Full-time","n/a",5,2,1,1
265,2.5,"I think the employee will be less likely to be actively trying to do his/her job better in the future because they were treated with disrespect by the manager. The employee was clearly upset by the behavior, especially considering they were trying to be more efficient at work.",1,7,7,1,2,3,2,2,3,3,2,2,3,3,1,1,28,"Complete the report like the rest of the team",39,"asian","4yearColl","$100,001-$120,000","man","Full-time",NA,6,4,0,1
266,4,"If the manager doesn't go too far micromanagement, then the person is good person to improve work situation.",4,7,4,3,6,2,5,5,2,6,2,6,2,4,1,1,43,"Be more focused at work",47,"asian","4yearColl","$100,001-$120,000","woman","Full-time",NA,6,4,0,0
268,1.9,"The employee must have felt very annoyed and overwhelmed by the managers actions. They most likely couldn't do their jobs to the best of their ability. I imagine that nothing would end up being done about the managers behavior.",1,7,7,2,5,2,1,2,1,1,2,1,1,3,1,1,38,"Work in teams to get a job done according to instructions",25,"white","GED","$20,001-$40,000","woman","Full-time",NA,2,2,1,0
269,3.6,"I don't think anything happened to the manager the employee may have picked up the pace depending on capabilities, mindset and needs. The manager likely has a quota to meet and doesn't care about the people working for them enough to consider individual capabilities",3,4,6,2,6,4,1,6,3,6,1,2,3,4,1,1,31,"Clean the rooms faster",41,"black","GED","$20,001-$40,000","woman","Part-time","none",2,2,0,0
270,3.5,"I think that this makes his job harder. I think it was not good manager wise for that.",3,3,2,1,6,3,2,4,1,5,3,6,1,4,1,1,22,"File paperwork that the employee thinks is incorrect",44,"white","GED","$20,001-$40,000","woman","Full-time",NA,2,2,1,0
271,2.9,"The worker probably felt more sick.They would have felt really bad about the manager's behavior to them because being exposed to the freezer can increase the symptoms of the flu.if it was possible to report the manager, the employee would probably take it.",1,7,7,1,3,2,3,4,3,6,2,2,2,2,1,1,47,"Work in freezer while having the flu",25,"black","MA","$160,001-$180,000","woman","Full-time",NA,9,5,0,0
272,3.1,"I think that the employee would not be incentivized to work harder as a result of the manager's threat. Instead I think that the employee would feel less motivated to come in, and even seek employment elsewhere as a result of the manager's behavior.",1,1,7,1,3,4,2,5,1,5,3,1,5,2,1,1,19,"Make more sales",27,"black","4yearColl","$60,001-$80,000","woman","Full-time",NA,4,4,0,0
273,2.5,"As a consequence of the manager's behavior, the employee may feel unappreciated and demoralized. He/she might also feel a sense of injustice and frustration at the manager's lack of understanding and support. In reaction to this, the employee may experience increased resentment towards the manager and reduced desire to work.",1,7,7,1,5,2,1,1,1,5,1,2,2,5,1,1,13,"Spearhead a project for a new children's exhibit",29,"white","MA","$100,001-$120,000","man","Part-time",NA,6,5,1,1
274,1.8,"The employee was confused and didn't know what to do.

Consequence? The file was rejected by the court.",1,2,7,1,1,2,2,1,1,5,1,1,1,3,1,1,22,"File paperwork that the employee thinks is incorrect",24,"white","MA","$80,001-$100,000","woman","Full-time",NA,5,5,1,0
275,3.2,"The director came to a meeting to review how his employees conducted customer meetings. During it, he made sweeping changes to both how employees dressed and what accomodations they were allowed to have. I imagine worker morale dropped given these changes that may or may not have been necessary, and seemed to be not relevant to the quality of the actual meeting with the customer. I would probably quit.",1,2,7,1,5,2,6,5,1,6,1,1,4,1,1,1,44,"Dress in formal suits (when the norm is business casual) and stay in less expensive rooms in a hotel",32,"asian","MA","$60,001-$80,000","woman","Full-time",NA,4,5,0,0
