"PID","choice","points","attitude","rec","is_dom","MID","message","age","race","edu","income","gender","employment","feedback"
254,"Yes",41,2,0,1,"WC835pl","This task I am assigning you is pretty important and needs to be done as well as possible. If you do not perform well you will not be receiving a possible bonus that I can reward you with. If you want this bonus, you will perform according.",31,"white","2yearColl","$20,001-$40,000","man","Full-time",""
255,"Yes",21,2,0,1,"YI774jh","Dear Employee. Your performance on this task is critical to your success at this company. If you cannot complete this task well, I will have to think about whether or not you are the right fit at the ocmpany. Remember, how I see your performance influences how I see you as a performer and whether or not I want to keep you on at this company. Don't just try your best, do your best.",40,"white","4yearColl","$100,001-$120,000","man","Full-time",""
256,"Yes",38,6,1,0,"HJ188qx","Before we begin this task I just want to let you know that I appreciate all the hard work you always do and offer you a chance for a bonus. I am going to assign you a task and if you do well, there is a bonus involved for you. I know that you generally perform well, so I'm not too concerned, but wanted to give you a heads up that the better you perform the better your bonus will be for this task. Thanks again for all your hard work!",47,"white","MA","$100,001-$120,000","woman","Full-time",""
257,"Yes",38,3,0,0,"TO642sj","You are completely capable of successfully completing this task. You are smart, perceptive, and discerning: all things you need to complete this task well.",47,"white","GED","$20,001-$40,000","man","Part-time","N/A"
258,"Yes",50,3,1,1,"XD206yn","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.",39,"white","2yearColl","Over $200,000","man","Homemaker",""
259,"Yes",40,7,1,1,"GV333wu","I need for you to complete a task for me. Your performance directly affects not only my bonus, but yours as well.",35,"white","GED","$0-$20,000","man","Unemployed",""
260,"Yes",50,4,0,0,"AC528ed","Please do your best at this exercise as I have faith that you will try your hardest, but if you make a mistake, no worries. Just take a deep breath focus on the exercise and you will do great!",52,"white","MA","$160,001-$180,000","man","Full-time",""
261,"Yes",41,7,1,0,"XT894iw","You totally got this! Please match as many as you can as quickly as you can. By helping me with the work, we can achieve a lot together.",36,"white","4yearColl","$60,001-$80,000","man","Full-time",""
262,"Yes",40,2,1,0,"TO642sj","You are completely capable of successfully completing this task. You are smart, perceptive, and discerning: all things you need to complete this task well.",32,"asian","4yearColl","$60,001-$80,000","woman","Full-time",""
263,"Yes",43,5,1,1,"OL009mq","Reminder those that do not complete the task will not be compensated properly.",48,"white","MA","$140,001-$160,000","woman","Full-time",""
264,"Yes",21,5,1,1,"LB941bt","You've got to have this task done in its entirety before leaving leaving today. We're relying on you for accurate work with this one, so please do not let us down.",27,"white","MA","$60,001-$80,000","woman","Full-time",""
265,"Yes",44,7,1,0,"HU074mk","Whether you do well or not, I appreciate your hard work at this company and will continue to support you.",26,"white","MA","$80,001-$100,000","woman","Full-time",""
266,"No",0,1,0,1,"ZC801er","Hello, I am writing you today to notify you that you must complete this task flawlessly. There may be consequences if there is any more than 10% wrong. Pay close attention to the task.",63,"white","GED","$60,001-$80,000","man","Full-time",""
267,"Yes",22,6,1,0,"AC528ed","Please do your best at this exercise as I have faith that you will try your hardest, but if you make a mistake, no worries. Just take a deep breath focus on the exercise and you will do great!",45,"black","4yearColl","$100,001-$120,000","woman","Full-time",""
268,"Yes",36,5,1,0,"SM837hk","Hi Team! Thank you so much for all your hard work so far this quarter. It has not gone unnoticed. Coming up, you will be automatically enrolled in an activity that requires your participation. It should not take long, and you will receive a small bonus in return. We realize that it has been especially busy, so if you need an extension on any deadlines in order to complete this task please do not hesitate to reach out.",35,"black","MA","$40,001-$60,000","woman","Full-time",""
269,"Yes",48,4,0,1,"GV333wu","I need for you to complete a task for me. Your performance directly affects not only my bonus, but yours as well.",63,"white","4yearColl","Over $200,000","woman","Full-time",""
270,"Yes",32,4,1,1,"LB941bt","You've got to have this task done in its entirety before leaving leaving today. We're relying on you for accurate work with this one, so please do not let us down.",31,"white","GED","$20,001-$40,000","man","Part-time",""
271,"Yes",14,5,1,0,"EP725gv","Hello everyone! Thank you all for agreeing to participate in this project. Please take your time and put forth your best effort in completing this activity. If any help is needed, please see me so that I can provide clarity and assistance. Good luck to you all!",46,NA,NA,NA,NA,"Part-time","I appreciate the opportunity but this survey was odd"
272,"No",0,2,0,1,"OL009mq","Reminder those that do not complete the task will not be compensated properly.",58,"white","2yearColl","$60,001-$80,000","man","Full-time",""
273,"Yes",35,1,0,1,"XD206yn","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.",43,"white","MA","$80,001-$100,000","woman","Full-time",""
274,"Yes",34,6,1,0,"LW745iy","Hi, I have a task that needs to be completed. You've got a sharp eye and I would appreciate if you could do it.",41,"white","GED","$60,001-$80,000","woman","Full-time","Thank you for letting me participate! "
275,"Yes",31,6,1,0,"UD880hg","I am hoping you can lend your expertise on this request, given that I know you have a knack for this type of thing! I really appreciate your help, and please let me know if you have any questions!",44,"black","MA","$40,001-$60,000","woman","Part-time","None"
276,"Yes",23,5,1,0,"VM414kq","This task is meant to challenge you but I have every faith that you will rise to the occasion. Take your time, think clearly and I know you will succeed.",74,"white","4yearColl","$60,001-$80,000","woman","Full-time",""
277,"Yes",29,3,0,1,"MR621vy","There is an activity coming up that you must participate in. This is not optional. You will be automatically enrolled, and the deadline is a hard deadline. Failure to complete the task will result in the potential to be written up.",43,"white","GED","$40,001-$60,000","woman","Full-time",""
278,"Yes",40,2,1,1,"AB972vt","Remember this project is very important to the success of the company and your success here. If you can't accomplish it, you may not be a good fit to continue working here.",51,"white","4yearColl","$120,001-$140,000","woman","Part-time",""
279,"Yes",42,6,1,0,"HJ188qx","Before we begin this task I just want to let you know that I appreciate all the hard work you always do and offer you a chance for a bonus. I am going to assign you a task and if you do well, there is a bonus involved for you. I know that you generally perform well, so I'm not too concerned, but wanted to give you a heads up that the better you perform the better your bonus will be for this task. Thanks again for all your hard work!",29,"hispanic","GED","$80,001-$100,000","man","Full-time",""
280,"Yes",46,2,0,0,"SM837hk","Hi Team! Thank you so much for all your hard work so far this quarter. It has not gone unnoticed. Coming up, you will be automatically enrolled in an activity that requires your participation. It should not take long, and you will receive a small bonus in return. We realize that it has been especially busy, so if you need an extension on any deadlines in order to complete this task please do not hesitate to reach out.",40,"white","4yearColl","$20,001-$40,000","man","Full-time","Thanks for this opportunity:)"
281,"Yes",48,7,1,0,"YF438np","Please do the best that you can to identify all the shapes that are described. Feel free to take your time and double-check your choices - you don't need to be perfect, just make your best effort!",26,"white","4yearColl","$20,001-$40,000","woman","Full-time",""
282,"Yes",34,7,1,0,"VD105li","Hey. Our boss has given us a fun and easy task to complete. I think it will allow you to test your intelligence and see exactly how much you know. You will be granting a bonus based on how much you would come up with. Let's do it! It is definitely worth our time.",34,"white","4yearColl","$20,001-$40,000","man","Part-time",""
283,"Yes",46,6,1,0,"BD990bc","Hey, i have a unique opportunity for you to contribute to our team's success. This task could really make a difference for both of us. Your keen eye for details would be invaluable here.",48,"white","4yearColl","$60,001-$80,000","woman","Full-time",""
284,"Yes",46,3,0,1,"GJ795ld","Please remember that this task directly affects your future pay and performance. Attempting to skate by or not give your full effort will result in severe consequences.",27,"white","GED","$20,001-$40,000","man","Part-time",""
285,"Yes",40,6,1,0,"VQ327uf","I have faith that you will excel and perform this given task to the best of your ability because I know how hard-working my employees are. With that being said, there will be a monetary reward for those that perform this task as accurately and efficiently as possible!",38,"white","4yearColl","$120,001-$140,000","woman","Full-time",""
286,"Yes",40,6,1,0,"KF800kz","I'm choosing this assignment for you because I know that I can count on you to do a great job. Thank you so much!",40,"white","PHD","Over $200,000","woman","Full-time",""
287,"Yes",48,1,1,1,"JI806xu","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.",42,"black","4yearColl","$140,001-$160,000","woman","Full-time",""
288,"Yes",48,5,1,0,"HU074mk","Whether you do well or not, I appreciate your hard work at this company and will continue to support you.",50,"white","MA","$100,001-$120,000","man","Full-time",""
289,"Yes",28,5,1,0,"OA261ld","I've given you a relatively easy task that I know you'll perform your absolute best on! To help make the task a little better, you can earn a nice bonus - so make sure to give it your all! I have no doubt that you'll find it easy and fun. You've got this!",25,"white","GED","$20,001-$40,000","man","Full-time",""
290,"Yes",33,6,1,1,"KJ482kw","You've been selected for a rigorous task that will impact how the company views our team, myself, and you. This is extremely important and you must understand the gravity of the role you're being assigned. If you were to do poorly, it would impact your standing with the company as well as in my eyes. I want you focus on succeeding in any way possible and remember how much weight this carries.",42,"black","2yearColl","$40,001-$60,000","man","Other",""
291,"Yes",42,3,0,1,"YI774jh","Dear Employee. Your performance on this task is critical to your success at this company. If you cannot complete this task well, I will have to think about whether or not you are the right fit at the ocmpany. Remember, how I see your performance influences how I see you as a performer and whether or not I want to keep you on at this company. Don't just try your best, do your best.",38,"white","4yearColl","$0-$20,000","woman","Part-time",""
292,"Yes",29,4,0,1,"PT099gj","You must complete this task. Do it to the best of your abilities, or else your bonus will be affected.",51,"white","4yearColl","$80,001-$100,000","man","Full-time",""
293,"Yes",28,3,0,1,"JI806xu","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.",49,"white","MA","$40,001-$60,000","woman","Full-time",""
294,"Yes",25,2,0,1,"YI774jh","Dear Employee. Your performance on this task is critical to your success at this company. If you cannot complete this task well, I will have to think about whether or not you are the right fit at the ocmpany. Remember, how I see your performance influences how I see you as a performer and whether or not I want to keep you on at this company. Don't just try your best, do your best.",34,"white","GED","$20,001-$40,000","man","Part-time","Thank you"
295,"Yes",37,5,1,0,"PA168kd","Hey teammate, I chose you to help complete this shape identification task because it is a quick, fun way for both of us to earn a bonus and I know you are the perfect person for the job! I'd really appreciate your attention and focus and I'll make sure your bonus reflects your hard work. Let's win this together!",26,"hispanic","4yearColl","$100,001-$120,000","woman","Full-time",""
296,"Yes",44,3,1,1,"XW406gb","This exercise determines your bonus. So do your best or your bonus will be affected.",26,"black","4yearColl","$60,001-$80,000","woman","Full-time",""
297,"Yes",45,4,1,0,"JV696yc","I think you would be great for this job. You are a hard worker with great skills. I know I can count on you to get the job done.",44,"white","MA","$140,001-$160,000","woman","Full-time",""
298,"Yes",40,6,1,0,"DV618ch","I am guessing that you will do great on this task and in doing so you will earn yourself a nice little bonus. Do your best and I know the outcome will be favorable.",65,"asian","4yearColl","$40,001-$60,000","woman","Other","I enjoyed the survey."
299,"Yes",25,6,1,0,"BA092or","Team - We have an opportunity to earn meaningful bonuses on the upcoming pay cycle. This bonus depends on the accuracy of work you guys submit. The better the work, the higher the bonus we each receive. I know you guys are up to the task and I can't imagine anyone being better suited to nail this challenge than you guys! thanks for all of your hard work.",57,"white","GED","$20,001-$40,000","woman","Full-time",""
300,"Yes",45,1,1,1,"XD206yn","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.",25,"black","4yearColl","$80,001-$100,000","woman","Full-time",""
301,"Yes",44,7,1,0,"TC529xj","We want to offer you a bonus for completing this task in its entirety to reward you being such a valuable part of our team. We believe in you, so give it your best shot!",42,"black","GED","$60,001-$80,000","man","Full-time",""
302,"Yes",50,7,1,1,"WC835pl","This task I am assigning you is pretty important and needs to be done as well as possible. If you do not perform well you will not be receiving a possible bonus that I can reward you with. If you want this bonus, you will perform according.",37,"black","2yearColl","$20,001-$40,000","woman","Part-time",""
